feature,importance
fixed acidity,0.06601476477520181
volatile acidity,0.10847773080428186
citric acid,0.05843258106033885
residual sugar,0.04975141254086511
chlorides,0.06887158428329256
free sulfur dioxide,0.056121109766615114
total sulfur dioxide,0.09467087060717605
density,0.08487293641063214
pH,0.06087189460050183
sulphates,0.13149492598512977
alcohol,0.22042018916596504
